using device: cuda
loaded 338025 tokens
1 epoch = 20 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
step0 | loss: 10.947460174560547 | dt: 17781.67ms | tok/sec:  921.40 | norm: 28.57 | lr: 0.00001000
step173 | loss: 5.147204399108887 | dt: 2029.84ms | tok/sec:  8071.56 | norm: 1.92 | lr: 0.00059930
step174 | loss: 5.166815280914307 | dt: 1423.59ms | tok/sec:  11508.89 | norm: 1.22 | lr: 0.00059929
step175 | loss: 4.9346184730529785 | dt: 2066.81ms | tok/sec:  7927.21 | norm: 1.27 | lr: 0.00059928
step176 | loss: 4.84739875793457 | dt: 1409.83ms | tok/sec:  11621.25 | norm: 1.54 | lr: 0.00059927
step177 | loss: 4.781491756439209 | dt: 2003.50ms | tok/sec:  8177.68 | norm: 1.32 | lr: 0.00059925
step178 | loss: 4.874299049377441 | dt: 1434.05ms | tok/sec:  11425.01 | norm: 1.46 | lr: 0.00059924
step179 | loss: 4.655335903167725 | dt: 2023.54ms | tok/sec:  8096.69 | norm: 1.49 | lr: 0.00059923
step180 | loss: 5.052131175994873 | dt: 1412.76ms | tok/sec:  11597.13 | norm: 1.19 | lr: 0.00059921
step181 | loss: 4.6855998039245605 | dt: 2003.50ms | tok/sec:  8177.69 | norm: 1.14 | lr: 0.00059920
step182 | loss: 4.854791641235352 | dt: 1457.94ms | tok/sec:  11237.80 | norm: 0.90 | lr: 0.00059919
step183 | loss: 4.771519184112549 | dt: 2302.93ms | tok/sec:  7114.41 | norm: 1.33 | lr: 0.00059917
step184 | loss: 4.609739303588867 | dt: 1580.62ms | tok/sec:  10365.55 | norm: 1.09 | lr: 0.00059916
step185 | loss: 4.799641132354736 | dt: 2154.96ms | tok/sec:  7602.93 | norm: 1.20 | lr: 0.00059915
step186 | loss: 5.028528690338135 | dt: 1876.69ms | tok/sec:  8730.29 | norm: 1.05 | lr: 0.00059913
step187 | loss: 4.829408645629883 | dt: 2188.74ms | tok/sec:  7485.60 | norm: 1.05 | lr: 0.00059912
step188 | loss: 4.884164333343506 | dt: 1468.50ms | tok/sec:  11156.95 | norm: 1.24 | lr: 0.00059911
step189 | loss: 4.8033342361450195 | dt: 2102.05ms | tok/sec:  7794.29 | norm: 1.16 | lr: 0.00059909
step190 | loss: 4.825767517089844 | dt: 1472.18ms | tok/sec:  11129.06 | norm: 1.22 | lr: 0.00059908
step191 | loss: 4.910784721374512 | dt: 2062.35ms | tok/sec:  7944.35 | norm: 1.38 | lr: 0.00059906
step192 | loss: 4.752285003662109 | dt: 1440.05ms | tok/sec:  11377.34 | norm: 1.03 | lr: 0.00059905
step193 | loss: 5.016322135925293 | dt: 2133.82ms | tok/sec:  7678.23 | norm: 1.35 | lr: 0.00059903
step194 | loss: 5.089887619018555 | dt: 1455.31ms | tok/sec:  11258.06 | norm: 1.20 | lr: 0.00059902
step195 | loss: 4.885241508483887 | dt: 2078.16ms | tok/sec:  7883.91 | norm: 1.32 | lr: 0.00059901
step196 | loss: 4.761290550231934 | dt: 1487.18ms | tok/sec:  11016.84 | norm: 1.30 | lr: 0.00059899
step197 | loss: 4.690258979797363 | dt: 2077.40ms | tok/sec:  7886.79 | norm: 0.89 | lr: 0.00059898
step198 | loss: 4.757561206817627 | dt: 1554.48ms | tok/sec:  10539.86 | norm: 1.22 | lr: 0.00059896
step199 | loss: 4.563819885253906 | dt: 2159.10ms | tok/sec:  7588.35 | norm: 1.33 | lr: 0.00059895
step200 | loss: 4.965762138366699 | dt: 1439.77ms | tok/sec:  11379.61 | norm: 1.34 | lr: 0.00059893
step201 | loss: 4.60150146484375 | dt: 2137.86ms | tok/sec:  7663.75 | norm: 1.15 | lr: 0.00059892
step202 | loss: 4.764383316040039 | dt: 1435.13ms | tok/sec:  11416.41 | norm: 1.41 | lr: 0.00059890
step203 | loss: 4.706202983856201 | dt: 2419.67ms | tok/sec:  6771.18 | norm: 1.42 | lr: 0.00059888
step204 | loss: 4.586507320404053 | dt: 1470.89ms | tok/sec:  11138.86 | norm: 1.13 | lr: 0.00059887
step205 | loss: 4.763469219207764 | dt: 2111.31ms | tok/sec:  7760.10 | norm: 1.28 | lr: 0.00059885
step206 | loss: 4.9654035568237305 | dt: 1501.60ms | tok/sec:  10911.02 | norm: 1.37 | lr: 0.00059884
